name,core,options,number
Design for Advanced Manufacturing,GRAP2578 GRAP1037 GRAP1051 INTE2652,GRAP2575 ARCH3361 ARCH1478 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
Design for Sustainability,GRAP2575 ARCH3361 GRAP1042 ARCH1478,GRAP2578 GRAP1037 INTE2652 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
Interaction Design,GRAP2572 ARCH1477 ARCH1479 GRAP1043,GRAP2578 GRAP1037 INTE2652 GRAP2575 ARCH1478 GRAP2571 GRAP2570,4
Design for Sound Interfaces and Environments,ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572,GRAP2578 GRAP1037 INTE2652 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
