name,core,options,number
Design for Sustainability,GRAP1042 ARCH3361 GRAP2575 ARCH1478,GRAP1037 GRAP2578 INTE2652 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
Design for Advanced Manufacturing,GRAP1051 GRAP1037 GRAP2578 INTE2652,ARCH3361 GRAP2575 ARCH1478 GRAP2572 ARCH1477 GRAP2571 GRAP2570,4
Interaction Design,ARCH1479 GRAP1043 GRAP2572 ARCH1477,GRAP2575 ARCH1478 GRAP1037 GRAP2578 INTE2652 GRAP2571 GRAP2570,4
Design for Sound Interfaces and Environments,ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479,GRAP2575 GRAP2578 GRAP2572 ARCH1477 GRAP2571 GRAP2570,3
